start_date,end_date,dates
2022-03-01,2022-03-31,date_rec_from=03%2F01%2F2022&date_rec_to=03%2F31%2F2022
2022-02-01,2022-02-28,date_rec_from=02%2F01%2F2022&date_rec_to=02%2F28%2F2022
2022-01-01,2022-01-31,date_rec_from=01%2F01%2F2022&date_rec_to=01%2F31%2F2022
2021-12-01,2021-12-31,date_rec_from=12%2F01%2F2021&date_rec_to=12%2F31%2F2021
2021-11-01,2021-11-30,date_rec_from=11%2F01%2F2021&date_rec_to=11%2F30%2F2021
2021-10-01,2021-10-31,date_rec_from=10%2F01%2F2021&date_rec_to=10%2F31%2F2021
2021-09-01,2021-09-30,date_rec_from=09%2F01%2F2021&date_rec_to=09%2F30%2F2021
2021-08-01,2021-08-31,date_rec_from=08%2F01%2F2021&date_rec_to=08%2F31%2F2021
2021-07-01,2021-07-31,date_rec_from=07%2F01%2F2021&date_rec_to=07%2F31%2F2021
2021-06-01,2021-06-30,date_rec_from=06%2F01%2F2021&date_rec_to=06%2F30%2F2021
2021-05-01,2021-05-31,date_rec_from=05%2F01%2F2021&date_rec_to=05%2F31%2F2021
2021-04-01,2021-04-30,date_rec_from=04%2F01%2F2021&date_rec_to=04%2F30%2F2021
2021-03-01,2021-03-31,date_rec_from=03%2F01%2F2021&date_rec_to=03%2F31%2F2021
2021-02-01,2021-02-28,date_rec_from=02%2F01%2F2021&date_rec_to=02%2F28%2F2021
2021-01-01,2021-01-31,date_rec_from=01%2F01%2F2021&date_rec_to=01%2F31%2F2021
2020-12-01,2020-12-31,date_rec_from=12%2F01%2F2020&date_rec_to=12%2F31%2F2020
2020-11-01,2020-11-30,date_rec_from=11%2F01%2F2020&date_rec_to=11%2F30%2F2020
2020-10-01,2020-10-31,date_rec_from=10%2F01%2F2020&date_rec_to=10%2F31%2F2020
2020-09-01,2020-09-30,date_rec_from=09%2F01%2F2020&date_rec_to=09%2F30%2F2020
2020-08-01,2020-08-31,date_rec_from=08%2F01%2F2020&date_rec_to=08%2F31%2F2020
2020-07-01,2020-07-31,date_rec_from=07%2F01%2F2020&date_rec_to=07%2F31%2F2020
2020-06-01,2020-06-30,date_rec_from=06%2F01%2F2020&date_rec_to=06%2F30%2F2020
2020-05-01,2020-05-31,date_rec_from=05%2F01%2F2020&date_rec_to=05%2F31%2F2020
2020-04-01,2020-04-30,date_rec_from=04%2F01%2F2020&date_rec_to=04%2F30%2F2020
2020-03-01,2020-03-31,date_rec_from=03%2F01%2F2020&date_rec_to=03%2F31%2F2020
2020-02-01,2020-02-28,date_rec_from=02%2F01%2F2020&date_rec_to=02%2F28%2F2020
2020-01-01,2020-01-31,date_rec_from=01%2F01%2F2020&date_rec_to=01%2F31%2F2020
2019-12-01,2019-12-31,date_rec_from=12%2F01%2F2019&date_rec_to=12%2F31%2F2019
2019-11-01,2019-11-30,date_rec_from=11%2F01%2F2019&date_rec_to=11%2F30%2F2019
2019-10-01,2019-10-31,date_rec_from=10%2F01%2F2019&date_rec_to=10%2F31%2F2019
2019-09-01,2019-09-30,date_rec_from=09%2F01%2F2019&date_rec_to=09%2F30%2F2019
2019-08-01,2019-08-31,date_rec_from=08%2F01%2F2019&date_rec_to=08%2F31%2F2019
2019-07-01,2019-07-31,date_rec_from=07%2F01%2F2019&date_rec_to=07%2F31%2F2019
2019-06-01,2019-06-30,date_rec_from=06%2F01%2F2019&date_rec_to=06%2F30%2F2019
2019-05-01,2019-05-31,date_rec_from=05%2F01%2F2019&date_rec_to=05%2F31%2F2019
2019-04-01,2019-04-30,date_rec_from=04%2F01%2F2019&date_rec_to=04%2F30%2F2019
2019-03-01,2019-03-31,date_rec_from=03%2F01%2F2019&date_rec_to=03%2F31%2F2019
2019-02-01,2019-02-28,date_rec_from=02%2F01%2F2019&date_rec_to=02%2F28%2F2019
2019-01-01,2019-01-31,date_rec_from=01%2F01%2F2019&date_rec_to=01%2F31%2F2019
2018-12-01,2018-12-31,date_rec_from=12%2F01%2F2018&date_rec_to=12%2F31%2F2018
2018-11-01,2018-11-30,date_rec_from=11%2F01%2F2018&date_rec_to=11%2F30%2F2018
2018-10-01,2018-10-31,date_rec_from=10%2F01%2F2018&date_rec_to=10%2F31%2F2018
2018-09-01,2018-09-30,date_rec_from=09%2F01%2F2018&date_rec_to=09%2F30%2F2018
2018-08-01,2018-08-31,date_rec_from=08%2F01%2F2018&date_rec_to=08%2F31%2F2018
2018-07-01,2018-07-31,date_rec_from=07%2F01%2F2018&date_rec_to=07%2F31%2F2018
2018-06-01,2018-06-30,date_rec_from=06%2F01%2F2018&date_rec_to=06%2F30%2F2018
2018-05-01,2018-05-31,date_rec_from=05%2F01%2F2018&date_rec_to=05%2F31%2F2018
2018-04-01,2018-04-30,date_rec_from=04%2F01%2F2018&date_rec_to=04%2F30%2F2018
2018-03-01,2018-03-31,date_rec_from=03%2F01%2F2018&date_rec_to=03%2F31%2F2018
2018-02-01,2018-02-28,date_rec_from=02%2F01%2F2018&date_rec_to=02%2F28%2F2018
2018-01-01,2018-01-31,date_rec_from=01%2F01%2F2018&date_rec_to=01%2F31%2F2018
