start_date,end_date,month_count
2022-03-01,2022-03-31,5813.0
2022-02-01,2022-02-28,5681.0
2022-01-01,2022-01-31,5279.0
2021-12-01,2021-12-31,5294.0
2021-11-01,2021-11-30,5365.0
2021-10-01,2021-10-31,5435.0
2021-09-01,2021-09-30,5028.0
2021-08-01,2021-08-31,5400.0
2021-07-01,2021-07-31,5922.0
2021-06-01,2021-06-30,5976.0
2021-05-01,2021-05-31,5499.0
2021-04-01,2021-04-30,5813.0
2021-03-01,2021-03-31,6700.0
2021-02-01,2021-02-28,5253.0
2021-01-01,2021-01-31,5610.0
2020-12-01,2020-12-31,5531.0
2020-11-01,2020-11-30,5152.0
2020-10-01,2020-10-31,6646.0
2020-09-01,2020-09-30,5947.0
2020-08-01,2020-08-31,5543.0
2020-07-01,2020-07-31,5767.0
2020-06-01,2020-06-30,4792.0
2020-05-01,2020-05-31,3700.0
2020-04-01,2020-04-30,3371.0
2020-03-01,2020-03-31,4270.0
2020-02-01,2020-02-28,4635.0
2020-01-01,2020-01-31,5289.0
2019-12-01,2019-12-31,4509.0
2019-11-01,2019-11-30,5066.0
2019-10-01,2019-10-31,5034.0
2019-09-01,2019-09-30,4454.0
2019-08-01,2019-08-31,4922.0
2019-07-01,2019-07-31,4745.0
2019-06-01,2019-06-30,4488.0
2019-05-01,2019-05-31,4770.0
2019-04-01,2019-04-30,4628.0
2019-03-01,2019-03-31,4479.0
2019-02-01,2019-02-28,3798.0
2019-01-01,2019-01-31,4295.0
2018-12-01,2018-12-31,3346.0
2018-11-01,2018-11-30,4002.0
2018-10-01,2018-10-31,4272.0
2018-09-01,2018-09-30,3525.0
2018-08-01,2018-08-31,4391.0
2018-07-01,2018-07-31,3970.0
2018-06-01,2018-06-30,4646.0
2018-05-01,2018-05-31,4419.0
2018-04-01,2018-04-30,2104.0
2018-03-01,2018-03-31,2003.0
2018-02-01,2018-02-28,1452.0
2018-01-01,2018-01-31,1037.0
